TimeID,Hour,TimeGroup
1208,21.0,Night
1209,17.0,Afternoon
1210,1.0,Early Morning
1211,17.0,Afternoon
1212,18.0,Evening
1213,7.0,Morning
1214,8.0,Morning
1215,20.0,Evening
1216,6.0,Morning
1217,13.0,Afternoon
1218,6.0,Morning
1219,10.0,Morning
1220,4.0,Early Morning
1221,2.0,Early Morning
1222,3.0,Early Morning
1223,4.0,Early Morning
1224,8.0,Morning
1225,21.0,Night
1226,1.0,Early Morning
1227,17.0,Afternoon
1228,6.0,Morning
1229,0.0,Early Morning
1230,1.0,Early Morning
1231,17.0,Afternoon
1232,7.0,Morning
1233,14.0,Afternoon
1234,11.0,Morning
1235,0.0,Early Morning
1236,22.0,Night
1237,6.0,Morning
1238,8.0,Morning
1239,11.0,Morning
1240,21.0,Night
1241,7.0,Morning
1242,19.0,Evening
1243,0.0,Early Morning
1244,0.0,Early Morning
1245,1.0,Early Morning
1246,2.0,Early Morning
1247,18.0,Evening
1248,1.0,Early Morning
1249,20.0,Evening
1250,0.0,Early Morning
1251,4.0,Early Morning
1252,4.0,Early Morning
1253,5.0,Early Morning
1254,18.0,Evening
1255,11.0,Morning
1256,0.0,Early Morning
1257,7.0,Morning
